name,tree_length,mean_root_to_tip_distance,mean_pairwise_distance
1BT1_A,106.775658033,4.83452383532,4.4905489659
1BU7_A,92.3667939338,2.61905888016,3.28345461428
1BVV_A,56.1295866979,2.5841503746,1.65709930565
1BVZ_A,108.52894598,3.98227201201,3.06027317652
1BWL_A,69.5201219086,2.17733737632,1.75729461013
1BWZ_A,73.7334481628,1.37402273987,1.85683076982
1BYA_A,45.3450040977,1.94598994056,2.17249120698
1BZC_A,75.1406465457,3.37342352838,2.48221145663
1C82_A,142.257251697,5.4825717082,4.23550912546
1CA2_A,98.3373806802,2.65883734296,2.32116567102
1CB8_A,136.671138061,5.57691657277,4.15289934671
1CBX_A,71.4552786573,1.4909499224,2.10746163135
1CDG_A,82.5657683487,3.80281250024,3.70261779843
1CEL_A,57.5239673449,1.18331793708,1.50595134267
1CHD_A,92.8748489431,3.0527415803,1.81689210247
1CHK_B,31.9122660221,3.02148508825,2.84165611034
1CM0_A,125.659857474,6.20366361751,4.80825750834
1CNS_A,55.848436484,1.73239738048,1.72591776095
1COY_A,100.661854852,3.22236019112,4.83234237421
1CQQ_A,74.5058366578,3.50430226223,3.06857805179
1CVR_A,140.99381304,4.17828933432,4.70023503367
1CWY_A,122.841987151,1.95696403952,2.08996902731
1CZ1_A,121.682863127,2.4440377449,3.53641568127
1CZF_A,64.4648820365,2.38890227558,2.02732780263
1D1Q_A,93.8269668497,1.31316095554,1.95804310345
1D4C_A,78.4387977622,2.35150272842,2.63964869569
1D6O_A,60.0564283423,1.20356900143,1.66635457093
1DDJ_A,74.3116688741,1.85922062587,1.83711447762
1DGK_N,25.3818548562,5.35195147174,4.65891333689
1DGS_A,92.9826852692,1.29602447828,1.856639909
1DNP_A,98.5529916578,3.30059054691,2.51209749853
1DVE_A,121.78190937,2.89129893096,4.27694429794
1E0C_A,78.9373507782,1.66847088921,2.54583130746
1E1A_A,114.695152649,3.02172608822,3.33266654053
1E6E_A,112.538162956,2.00545981241,2.89898352455
1EB6_A,100.661622537,2.12712740357,3.02875525578
1EH5_A,158.249231489,4.97991845929,4.96868262833
1EUG_A,71.2262535555,1.22125498561,1.59153580903
1EUU_A,198.075070097,10.7688174859,7.31325642703
1EX1_A,97.2081547965,2.25719895475,2.66422159182
1EXN_A,86.6551269479,1.82373418668,2.28453975666
1EXP_A,78.6420476305,1.6756941905,2.00597843919
1EYP_A,118.765104514,3.54623047024,4.07824025515
1FF3_A,83.0868863815,1.43468121865,1.37088188491
1FGH_A,66.6590792982,5.36532793862,3.15282295673
1FHL_A,143.023716576,4.00547764775,3.39028258715
1FOA_A,146.77690736,5.43370146735,6.35019319324
1G24_A,226.301305583,3.96526858677,5.5984986475
1G6T_A,92.5054047631,5.16035704992,3.10979665717
1G8O_A,39.7730332154,1.85605902618,2.77348948431
1GA8_A,136.813061514,4.37068198694,3.34566724509
1GAL_A,101.251121856,5.03045913848,2.73399273957
1GCU_A,134.200581943,4.84170692661,3.4404291342
1GOG_A,185.160867693,6.58432134507,5.02197020466
1GP5_A,71.9080742772,1.68985445405,2.34340750288
1GQ8_A,66.9937504697,1.04043495396,1.53987393769
1H19_A,98.9191772509,6.21471943535,5.18023648838
1H3I_A,202.151140142,5.15429515088,4.10531368948
1HKA_A,78.5711287877,1.64274719885,1.74072323852
1HPM_A,39.4162139889,0.571084832619,0.783939071195
1HQC_A,87.111596936,2.22538716168,1.87185652286
1I1E_A,11.2050902241,2.4702752421,2.48685116536
1I1I_P,72.8336518752,2.99450078301,2.14365503801
1I9A_A,85.8743658325,4.92388038814,2.82659642287
1IDJ_A,86.0292412697,2.75909222473,3.45243715121
1IG8_A,65.5796436646,2.29581692019,2.46514732272
1IM5_A,99.7139612829,2.80907760745,3.05354336817
1INP_A,111.737885904,5.90844113188,4.31673985177
1IU4_A,0.722558508912,0.192574829016,0.190787096836
1J00_A,79.9134077882,1.61565934513,1.83870458896
1J09_A,83.4337702638,1.43977168337,2.07434837134
1JH6_A,159.022641627,3.89941681051,3.96733885909
1JMS_A,113.526140618,2.97817286694,3.62377740005
1JOA_A,95.5864429141,2.61847122103,2.31596560145
1JS4_A,84.3963981862,2.64754038899,2.43114725384
1K30_A,17.4564106275,2.90178160078,1.9102011887
1KL7_A,75.2126666377,2.51838029602,2.11613699049
1KNP_A,112.260582213,2.63756622625,2.65023114227
1L1D_A,92.0187390457,1.82219499923,1.84375967972
1L1L_A,112.785732191,5.41225347204,5.94664053285
1L6P_A,103.183417125,1.40072604043,2.19018752571
1L7N_A,61.712699663,2.14812786262,1.76895050807
1L7Q_A,141.836043738,2.65162637595,4.05627316038
1L8T_A,115.396549008,3.33322051611,4.37067885793
1L9X_A,89.4727706045,3.50776391285,3.41741612181
1LBA_A,68.9108217573,2.42125710147,2.55740188414
1LDM_A,76.4677658753,3.18023954295,2.42468159059
1LJL_A,82.6365845274,3.54647966276,2.10038171514
1LVH_A,116.059173719,1.78431372224,2.75981942505
1M53_A,89.2098522574,1.47381471576,1.9051456986
1MBB_A,80.1065566599,1.48050940631,1.69883329585
1MJ9_A,111.571565201,2.81443389711,2.72448548436
1MLA_A,76.0794725257,2.85423560325,1.77910065404
1MRQ_A,78.7027159431,1.75680666398,2.1286571312
1MUD_A,81.9456575961,1.74735934908,2.015432211
1MUG_A,125.383939161,4.546450368,4.61340524842
1NDH_A,79.8782254684,1.45143690065,1.94282891113
1NDI_A,95.4355331258,1.84695999213,3.06103200956
1NLU_A,115.972620673,3.1128157727,3.07054685625
1O8A_A,120.42642588,6.8114978079,3.86708450238
1O98_A,94.1957580305,1.11938488559,1.7033062357
1OG1_A,110.080356587,4.03804412104,4.14140163457
1OGO_X,117.772826158,3.90445651901,4.67090246339
1OJ4_A,80.3221763354,1.56833712788,2.28983025988
1ONR_A,68.334148739,1.10813324733,1.55053771483
1OPM_A,138.705669369,4.42413785883,4.31385937093
1OXA_A,114.165309203,1.36902682464,2.20321337457
1OYG_A,69.6924367235,6.35480861594,4.76754549901
1P1X_A,67.4054481059,2.05584023284,2.35928741155
1P3D_A,83.7519645304,2.54575809514,2.11159005872
1P5D_X,93.283608318,2.53190376638,2.79713074806
1PA9_A,73.3001700265,1.56065788835,1.9830226499
1PII_A,98.3974018314,3.51728431004,2.84908874416
1PKN_A,68.9208766875,2.3110342017,2.02388304648
1PMI_A,85.9705071649,1.87405729323,2.63330584272
1PP4_A,105.885215381,2.68220113286,2.71638298791
1PS9_A,74.1171215293,1.62583218017,1.51852297716
1PTD_A,128.581853808,5.16404616421,4.05978324672
1PUD_A,64.7678177558,1.28171491772,1.67318825088
1PYL_A,87.2141394869,3.12393084396,3.23374789932
1Q91_A,170.631795122,3.32421887239,4.40163896276
1QAM_A,89.7684125599,1.93578421038,2.35567071768
1QAZ_A,169.881867324,5.35486116911,5.79491592029
1QBA_A,120.139111857,3.11651981473,3.72292738475
1QFM_A,88.9875219843,3.20637636582,2.55378472995
1QGX_A,82.3170766698,3.62117696994,3.73652882267
1QJE_A,113.796276724,4.61915222512,4.11985185728
1QK2_A,89.4664393167,5.25356279971,3.02390200696
1QWN_A,150.005955751,6.51606884369,5.11128770987
1R1J_A,85.977593441,1.45748419279,2.34433657609
1R44_A,95.6685866862,2.34058032308,2.80513175877
1R4Z_A,129.63602871,2.78335087319,3.6842242276
1RBN_A,48.7163387043,3.46658513002,2.05032798965
1RDD_A,81.8063147495,1.43804405488,1.58437816448
1RU4_A,227.318528463,3.63982381809,4.3398292258
1S3I_A,89.2012104469,3.19184881514,1.80046371866
1S95_A,56.4777774625,2.61538068688,2.52786833837
1SCA_A,95.7793385666,1.45676330681,1.99787659427
1SLL_A,230.719609318,7.00774923837,8.49787667676
1SML_A,92.1564079842,1.72547612705,2.44352020554
1SNZ_A,95.4904412421,1.60111850435,1.68630810234
1TAH_B,139.179473478,5.85574577509,4.68185186663
1TLP_E,70.9282686819,2.49329988694,2.17281175068
1U3F_A,128.902263789,1.69472532148,2.6477322396
1U5U_A,66.9026293897,1.10849658405,1.52623793486
1UAS_A,93.974404319,1.86109181678,2.05963052143
1UN1_A,55.8861062196,1.41579994092,1.4993153542
1VID_A,81.3438625914,2.97369748007,2.64773761316
1VLB_A,104.724734485,3.92403116658,3.33532744754
1VNC_A,89.281130604,2.4484448792,3.89534791912
1VQ1_A,118.87046583,1.81598690487,2.15979020502
1W0H_A,81.9245496848,2.15306956413,2.76994096556
1XQW_A,91.7666379319,4.09579155172,3.73231920503
1Y9M_A,87.6730415448,2.9582627896,3.27165372483
1YON_A,120.191278653,3.23581533616,3.33190577457
1YSC_A,97.5219588819,2.95607692813,2.97375507931
1ZE1_A,96.9669333191,1.79789926091,2.23697609386
1ZIO_A,69.9643807673,1.00710271385,1.48720211091
206L_A,112.141843134,5.54628883512,3.14392617068
2A0N_A,54.9137924529,1.29876534727,1.22415103272
2ABK_A,61.1981495604,1.51970871071,1.52744171609
2ACY_A,87.9189593817,1.4165296142,2.19479460459
2AYH_A,83.7088646154,2.22681214311,3.10915731707
2CPO_A,81.9149382948,3.28026117885,3.55091347613
2CPU_A,73.7969203803,2.10744229442,1.983937149
2DLN_A,102.420947315,2.8115154321,2.79523804914
2EBN_A,106.619861361,4.30860956234,4.25356212114
2ENG_A,36.4688477835,2.66467026154,1.62845589441
2F61_A,122.673878801,3.89749574449,3.04902110478
2F9R_A,75.1137633987,3.55680246172,3.77886650984
2NLR_A,97.2239420287,3.13416574301,2.78556697496
2NMT_A,70.5900740587,2.37723599269,2.07516169128
2PEC_A,76.2419842175,2.34773004618,3.12585862509
2PIA_A,97.4631909838,1.53420443482,1.86898523753
2PTH_A,78.4655624991,1.33340870837,1.92926500299
2SQC_A,83.6070320632,3.79146754524,3.80017967294
2THI_A,109.29805397,2.7396562126,3.83098534866
2TPS_A,97.9533528058,2.75269890986,2.09991195414
5EAT_A,81.2873273027,1.84019494135,2.05796080397
7ATJ_A,56.2897067516,1.79860746308,1.37646336922
